                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4095,                 2.1248,                 1.6688,                  0.268,                0.38612,                0.24032,                0.09077,                 2.2965,                 15.069,                 2.9841,             0.00047152,             0.00047152,             0.00047152
                      2,                  1.583,                 1.6957,                 1.7966,                0.71259,                  0.075,                0.02572,                0.00816,                 3.1874,                 8.2468,                 3.4532,             0.00091658,             0.00091658,             0.00091658
                      3,                 1.6092,                 1.6359,                 1.8062,                0.58923,                0.44009,                0.47454,                0.24629,                  2.153,                 2.8129,                  2.789,              0.0013302,              0.0013302,              0.0013302
                      4,                 1.5786,                 1.5897,                 1.7575,                0.69123,                0.43131,                0.51168,                0.25193,                 2.0751,                 2.9071,                 2.5078,              0.0012875,              0.0012875,              0.0012875
                      5,                  1.559,                 1.5186,                 1.7336,                0.76056,                0.68134,                0.76213,                 0.4057,                 1.8237,                 1.7567,                 2.3573,              0.0012404,              0.0012404,              0.0012404
                      6,                 1.4928,                 1.4065,                 1.6902,                0.72773,                0.72222,                0.74414,                0.39504,                 1.7148,                 1.7471,                 2.1669,              0.0011932,              0.0011932,              0.0011932
                      7,                 1.4154,                 1.3167,                 1.6247,                 0.7934,                0.72067,                0.77273,                0.44147,                 1.7104,                 1.5435,                 2.0572,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.3996,                 1.2643,                 1.6182,                0.87174,                0.78571,                0.86527,                0.44788,                 1.6948,                 1.3028,                 2.0069,              0.0010989,              0.0010989,              0.0010989
                      9,                 1.3432,                 1.2229,                 1.5886,                0.82862,                0.77132,                0.83552,                 0.5008,                 1.5265,                 1.3149,                 2.0088,              0.0010517,              0.0010517,              0.0010517
                     10,                 1.3055,                 1.1762,                 1.5455,                0.84595,                0.84594,                0.87364,                0.54124,                 1.3862,                 1.1768,                 1.7676,              0.0010046,              0.0010046,              0.0010046
                     11,                 1.2562,                 1.0759,                  1.504,                 0.8686,                0.81505,                0.88471,                0.54884,                 1.3097,                 1.0918,                 1.6515,             0.00095743,             0.00095743,             0.00095743
                     12,                 1.2569,                 1.0864,                  1.496,                0.86274,                0.86633,                0.88351,                0.50693,                 1.4346,                 1.1448,                 1.7734,             0.00091027,             0.00091027,             0.00091027
                     13,                 1.2226,                 1.0118,                 1.4751,                 0.8544,                0.81336,                0.87214,                0.55119,                 1.4001,                 1.0437,                 1.7631,             0.00086312,             0.00086312,             0.00086312
                     14,                  1.219,                 1.0198,                 1.4656,                0.82949,                0.86091,                0.88365,                 0.5524,                 1.3283,                0.96211,                  1.688,             0.00081596,             0.00081596,             0.00081596
                     15,                 1.1766,                0.96107,                  1.452,                0.87456,                0.85202,                0.86193,                0.52636,                 1.3526,                 1.0611,                 1.7018,              0.0007688,              0.0007688,              0.0007688
                     16,                 1.1636,                0.92487,                 1.4418,                0.84491,                0.87567,                0.88725,                0.56557,                 1.2642,                0.88423,                 1.6188,             0.00072164,             0.00072164,             0.00072164
                     17,                 1.1373,                0.91808,                 1.4047,                0.81801,                0.85404,                0.86614,                0.55157,                 1.3181,                 1.1249,                    1.7,             0.00067449,             0.00067449,             0.00067449
                     18,                  1.122,                0.86482,                  1.409,                0.89673,                0.86269,                0.90367,                0.58134,                 1.2767,                0.81128,                  1.579,             0.00062733,             0.00062733,             0.00062733
